,sentiment,text,polarity,std
2825,positive,verdaderamente,0.375,0.0
2826,positive,verdadero,0.453,0.188
2827,positive,verde-amarillento,0.375,0.0
2828,positive,verde-amarillo,0.375,0.0
2829,positive,verde jade,0.375,0.0
2830,positive,verde salvia,0.375,0.0
2831,positive,verdemar,0.375,0.0
2832,positive,verdigris,0.375,0.0
2833,positive,verdoso,0.375,0.0
2834,positive,verificable,0.438,0.177
2835,positive,verosímil,0.333,0.072
2836,positive,versátil,0.417,0.289
2837,positive,verídico,0.458,0.402
2838,positive,veste,0.375,0.0
2839,positive,vestido de cóctel,0.375,0.0
2840,positive,viabilidad,0.375,0.0
2841,positive,viaje de lujo,0.375,0.0
2842,positive,viaje de placer,0.375,0.0
2843,positive,vigoroso,0.417,0.177
2844,positive,villancico,0.313,0.0
2845,positive,villancico de navidad,0.375,0.0
2846,positive,vino de misa,0.375,0.0
2847,positive,violable,0.375,0.0
2848,positive,virgen,0.375,0.265
2849,positive,virginal,0.417,0.144
2850,positive,virtual,0.313,0.088
2851,positive,virtuosismo,0.375,0.0
2852,positive,visar,0.375,0.177
2853,positive,viscoso,0.281,0.063
2854,positive,visible,0.458,0.125
2855,positive,visto bueno,0.375,0.0
2856,positive,vistoso,0.313,0.265
2857,positive,vital,0.464,0.157
2858,positive,vitalidad,0.375,0.344
2859,positive,vitalizar,0.438,0.265
2860,positive,vivace,0.375,0.0
2861,positive,vivacidad,0.333,0.184
2862,positive,vivaz,0.469,0.146
2863,positive,vivazmente,0.375,0.0
2864,positive,viveza,0.268,0.098
2865,positive,vivificar,0.438,0.265
2866,positive,vivir a costa de,0.375,0.0
2867,positive,vivir de gorra,0.375,0.0
2868,positive,vivo,0.33,0.188
2869,positive,voleibol,0.375,0.0
2870,positive,volitivo,0.375,0.0
2871,positive,voluminoso,0.292,0.0
2872,positive,volumétricamente,0.375,0.0
2873,positive,voluntario,0.333,0.25
2874,positive,vírgen,0.375,0.0
2875,positive,vítor,0.375,0.088
2876,positive,vítores,0.375,0.0
2877,positive,vívido,0.375,0.0
2878,positive,yang,0.375,0.0
2879,positive,yoga,0.313,0.088
2880,positive,zigomorfo,0.375,0.0
2881,positive,ágil,0.479,0.094
2882,positive,ángel custodio,0.375,0.0
2883,positive,ángel de la guarda,0.375,0.0
2884,positive,área de conocimiento,0.375,0.0
2885,positive,épico,0.375,0.354
2886,positive,étnico,0.375,0.0
2887,positive,éxito,0.3,0.143
2888,positive,éxito absoluto,0.375,0.0
2889,positive,ídolo,0.313,0.12
2890,positive,índice de precios,0.375,0.0
2891,positive,único,0.333,0.125
2892,positive,a cara descubierta,0.25,0.0
2893,positive,a la medida,0.25,0.0
2894,positive,a priori,0.25,0.0
2895,positive,a propósito,0.25,0.0
2896,positive,abandonado,0.25,0.265
2897,positive,abarrotado,0.25,0.177
2898,positive,abastecedor,0.25,0.0
2899,positive,abatida,0.25,0.0
2900,positive,abatis,0.25,0.0
2901,positive,abejarrón,0.25,0.0
2902,positive,abejón,0.25,0.0
2903,positive,ablandante,0.25,0.0
2904,positive,abortivo,0.25,0.0
2905,positive,aborto espontáneo,0.25,0.0
2906,positive,abracadabra,0.25,0.0
2907,positive,abrazadera real,0.25,0.0
2908,positive,abrevadero,0.25,0.0
2909,positive,absolvedor,0.25,0.0
2910,positive,aburrirse,0.25,0.0
2911,positive,acalorado,0.25,0.0
2912,positive,acantión,0.25,0.0
2913,positive,acantonar,0.25,0.0
2914,positive,acaparador,0.25,0.0
2915,positive,acceleración,0.25,0.0
2916,positive,accesional,0.25,0.0
2917,positive,accionador,0.25,0.0
2918,positive,acecinado,0.25,0.0
2919,positive,acento circunflejo,0.25,0.0
2920,positive,acetificar,0.25,0.0
2921,positive,acicalar,0.25,0.0
2922,positive,acidular,0.25,0.0
2923,positive,aclamador,0.25,0.0
2924,positive,acolchado,0.25,0.177
2925,positive,acolchamiento,0.25,0.0
2926,positive,acostarse con cualquiera,0.25,0.0
2927,positive,acrobático,0.25,0.265
2928,positive,acromatínico,0.25,0.0
2929,positive,acrídidos,0.25,0.0
2930,positive,acta notarial,0.25,0.0
2931,positive,activa,0.25,0.0
2932,positive,activador,0.25,0.0
2933,positive,actividad,0.25,0.209
2934,positive,actividad principal,0.25,0.0
2935,positive,actividad social,0.25,0.0
2936,positive,acuartelar,0.25,0.0
2937,positive,acuminado,0.25,0.0
2938,positive,adaptador,0.25,0.0
2939,positive,adecuadamente,0.25,0.0
2940,positive,adelanto,0.25,0.125
2941,positive,adhesivo,0.25,0.0
2942,positive,adiestrador,0.25,0.0
2943,positive,aditivo,0.25,0.0
2944,positive,admitido,0.25,0.0
2945,positive,adopción,0.25,0.191
2946,positive,adormecimiento,0.25,0.0
2947,positive,adrenalina,0.25,0.0
2948,positive,adsorbato,0.25,0.0
2949,positive,adsorbible,0.25,0.0
2950,positive,advice,0.25,0.0
2951,positive,adyacente,0.25,0.088
2952,positive,aerófilo,0.25,0.0
2953,positive,afianzarse,0.25,0.0
2954,positive,afiladora,0.25,0.0
2955,positive,afiliado,0.25,0.0
2956,positive,afinación,0.25,0.0
2957,positive,afinamiento,0.25,0.0
2958,positive,aflautado,0.25,0.0
2959,positive,aforístico,0.25,0.354
2960,positive,africada,0.25,0.0
2961,positive,afrutado,0.25,0.0
2962,positive,agencia publicitaria,0.25,0.0
2963,positive,agente del FBI,0.25,0.0
2964,positive,agilidad,0.25,0.088
2965,positive,agrandar,0.25,0.265
2966,positive,agua de fuego,0.25,0.0
2967,positive,agudeza visual,0.25,0.0
2968,positive,agujereado,0.25,0.0
2969,positive,agujero negro,0.25,0.0
2970,positive,ahorquillado,0.25,0.0
2971,positive,ahumado,0.25,0.177
2972,positive,ahusado,0.25,0.0
2973,positive,aireado,0.25,0.0
2974,positive,al-hakim,0.25,0.0
2975,positive,al corriente,0.25,0.0
2976,positive,alacridad,0.25,0.0
2977,positive,alambre,0.25,0.0
2978,positive,alazán,0.25,0.0
2979,positive,alborada,0.25,0.0
2980,positive,alborozo,0.25,0.53
2981,positive,alcalescente,0.25,0.0
2982,positive,alcalótico,0.25,0.0
2983,positive,alcanforado,0.25,0.0
2984,positive,alcanforar,0.25,0.0
2985,positive,alcoholizado,0.25,0.0
2986,positive,alcohólico,0.25,0.088
2987,positive,alcotana,0.25,0.0
2988,positive,alfiler,0.25,0.0
2989,positive,algoritmo,0.25,0.0
2990,positive,alguien,0.25,0.0
2991,positive,alguno,0.25,0.0
2992,positive,aliado,0.25,0.289
2993,positive,aliforme,0.25,0.0
2994,positive,alifático,0.25,0.0
2995,positive,alimento probiótico,0.25,0.0
2996,positive,alistado,0.25,0.0
2997,positive,alma gemela,0.25,0.0
2998,positive,almohada,0.25,0.0
2999,positive,alpenstock,0.25,0.0
3000,positive,alternado,0.25,0.0
3001,positive,alternante,0.25,0.0
3002,positive,alterne,0.25,0.0
3003,positive,alterno,0.25,0.088
3004,positive,alteza,0.25,0.354
3005,positive,altivez,0.25,0.0
3006,positive,altiveza,0.25,0.0
3007,positive,alucinado,0.25,0.0
3008,positive,alucinógeno,0.25,0.0
3009,positive,alzado,0.25,0.0
3010,positive,amalgamativo,0.25,0.0
3011,positive,amanecida,0.25,0.0
3012,positive,amarillento,0.25,0.177
3013,positive,amateur,0.25,0.0
3014,positive,amigdala cerebral,0.25,0.0
3015,positive,amniocentesis,0.25,0.0
3016,positive,amo de la casa,0.25,0.0
3017,positive,amoblar,0.25,0.0
3018,positive,amonestaciones,0.25,0.0
3019,positive,amor libre,0.25,0.0
3020,positive,amotinado,0.25,0.0
3021,positive,amueblado,0.25,0.088
3022,positive,amárico,0.25,0.0
3023,positive,anabaptismo,0.25,0.0
3024,positive,anabolismo,0.25,0.0
3025,positive,anaclisis,0.25,0.0
3026,positive,anagógico,0.25,0.0
3027,positive,analgésico,0.25,0.0
3028,positive,analgético,0.25,0.0
3029,positive,analizable,0.25,0.0
3030,positive,analizado,0.25,0.0
3031,positive,analizador diferencial,0.25,0.0
3032,positive,anamorfismo,0.25,0.0
3033,positive,anasarcoso,0.25,0.0
3034,positive,anatomista,0.25,0.0
3035,positive,anatomía aplicada,0.25,0.0
3036,positive,anatomía clínica,0.25,0.0
3037,positive,anatómicamente,0.25,0.0
3038,positive,andante,0.25,0.0
3039,positive,anglohablante,0.25,0.0
3040,positive,angloparlante,0.25,0.0
3041,positive,angélicamente,0.25,0.0
3042,positive,animación,0.25,0.227
3043,positive,animadamente,0.25,0.0
3044,positive,animal,0.25,0.0
3045,positive,animal colmilludo,0.25,0.0
3046,positive,animal doméstico,0.25,0.0
3047,positive,animal en cautividad,0.25,0.0
3048,positive,anotador,0.25,0.0
3049,positive,antebrazo,0.25,0.0
3050,positive,antena yagi,0.25,0.0
3051,positive,antiautoritario,0.25,0.0
3052,positive,anticiparse,0.25,0.0
3053,positive,anticlimático,0.25,0.0
3054,positive,anticuario,0.25,0.0
3055,positive,antifonal,0.25,0.0
3056,positive,antifonario,0.25,0.0
3057,positive,antipático,0.25,0.0
3058,positive,antitanque,0.25,0.0
3059,positive,antiápex,0.25,0.0
3060,positive,antropomórfico,0.25,0.0
3061,positive,antroposofía,0.25,0.0
3062,positive,antílope,0.25,0.0
3063,positive,antípoda,0.25,0.0
3064,positive,antítesis,0.25,0.0
3065,positive,anual,0.25,0.125
3066,positive,anverso,0.25,0.0
3067,positive,análisis metodológico,0.25,0.0
3068,positive,análisis volumétrico,0.25,0.0
3069,positive,apadrinamiento,0.25,0.0
3070,positive,aparente,0.25,0.0
3071,positive,apasionamiento,0.25,0.088
3072,positive,apelable,0.25,0.0
3073,positive,aplicarse,0.25,0.0
3074,positive,aplomar,0.25,0.0
3075,positive,apocromático,0.25,0.0
3076,positive,apodar,0.25,0.0
3077,positive,apoderamiento,0.25,0.0
3078,positive,apoyabrazos,0.25,0.0
3079,positive,apoyo logístico integrado,0.25,0.0
3080,positive,apoyo logístico internacional,0.25,0.0
3081,positive,apreciable,0.25,0.088
3082,positive,aprestar,0.25,0.0
3083,positive,aprestarse,0.25,0.0
3084,positive,apresurado,0.25,0.0
3085,positive,aprovisionador,0.25,0.0
3086,positive,aproximado,0.25,0.0
3087,positive,apátrida,0.25,0.0
3088,positive,apócope,0.25,0.0
3089,positive,apócrifo,0.25,0.354
3090,positive,apófisis transversa,0.25,0.0
3091,positive,arbitrio,0.25,0.0
3092,positive,arcadiano,0.25,0.0
3093,positive,arcaísta,0.25,0.0
3094,positive,area de jurisdicción,0.25,0.0
3095,positive,argentífero,0.25,0.0
3096,positive,aridad,0.25,0.0
3097,positive,ariete,0.25,0.0
3098,positive,aritmética,0.25,0.0
3099,positive,arminianismo,0.25,0.0
3100,positive,arponear,0.25,0.177
3101,positive,arqueado,0.25,0.0
3102,positive,arquitectura paisajista,0.25,0.0
3103,positive,arracimado,0.25,0.0
3104,positive,arreglarse el pelo,0.25,0.0
3105,positive,arreglo personal,0.25,0.0
3106,positive,arriba,0.25,0.0
3107,positive,arrobamiento,0.25,0.0
3108,positive,arrullo,0.25,0.0
3109,positive,art decó,0.25,0.0
3110,positive,arteria cerebolosa superior,0.25,0.0
3111,positive,arteria comunicante,0.25,0.0
3112,positive,arteria intestinal,0.25,0.0
3113,positive,arterias comunicantes,0.25,0.0
3114,positive,arácnido,0.25,0.0
3115,positive,asentista,0.25,0.0
3116,positive,aseo,0.25,0.271
3117,positive,asesoramiento,0.25,0.0
3118,positive,asiento de palco,0.25,0.0
3119,positive,asignado,0.25,0.0
3120,positive,asignatura,0.25,0.0
3121,positive,asistencia postoperatoria,0.25,0.0
3122,positive,asistencia social,0.25,0.0
3123,positive,asistente social,0.25,0.0
3124,positive,asombrado,0.25,0.0
3125,positive,asonante,0.25,0.177
3126,positive,asordar,0.25,0.0
3127,positive,aspirante,0.25,0.442
3128,positive,asterión,0.25,0.0
3129,positive,astronave,0.25,0.0
3130,positive,ataviado,0.25,0.088
3131,positive,atemperar,0.25,0.088
3132,positive,atendido,0.25,0.0
3133,positive,atenuante,0.25,0.0
3134,positive,atildar,0.25,0.0
3135,positive,atlas lingüístico,0.25,0.0
3136,positive,atlético,0.25,0.188
3137,positive,atonal,0.25,0.0
3138,positive,atorar,0.25,0.0
3139,positive,atorvastatina,0.25,0.0
3140,positive,atracción de feria,0.25,0.0
3141,positive,atractor,0.25,0.0
3142,positive,atraíble,0.25,0.0
3143,positive,atribuirse,0.25,0.0
3144,positive,atónito,0.25,0.0
3145,positive,audiovisual,0.25,0.0
3146,positive,aullar de risa,0.25,0.0
3147,positive,auspicio,0.25,0.088
3148,positive,autenticidad,0.25,0.354
3149,positive,autillo,0.25,0.0
3150,positive,auto-gratificación,0.25,0.0
3151,positive,autoadulación,0.25,0.0
3152,positive,autobombo,0.25,0.0
3153,positive,autocine,0.25,0.0
3154,positive,autoengaño,0.25,0.0
3155,positive,autotrófica,0.25,0.0
3156,positive,autovolquete,0.25,0.0
3157,positive,ave,0.25,0.0
3158,positive,ave canora,0.25,0.0
3159,positive,avenencia,0.25,0.088
3160,positive,avenirse,0.25,0.0
3161,positive,avinagrar,0.25,0.0
3162,positive,avistamiento,0.25,0.0
3163,positive,axiología,0.25,0.0
3164,positive,ayuda audiovisual,0.25,0.0
3165,positive,azitromicina,0.25,0.0
3166,positive,azucarar,0.25,0.354
3167,positive,azul,0.25,0.072
3168,positive,azulado,0.25,0.072
3169,positive,aéreo,0.25,0.0
3170,positive,bacanales,0.25,0.0
3171,positive,balido,0.25,0.0
3172,positive,balón medicinal,0.25,0.0
3173,positive,banas,0.25,0.0
3174,positive,bandeja de té,0.25,0.0
3175,positive,bandeja del té,0.25,0.0
3176,positive,barrado,0.25,0.0
3177,positive,barrenar,0.25,0.0
3178,positive,barrera lingüística,0.25,0.0
3179,positive,basa,0.25,0.0
3180,positive,basamento,0.25,0.0
3181,positive,basofílico,0.25,0.0
3182,positive,bastón montañero,0.25,0.0
3183,positive,batea,0.25,0.0
3184,positive,bateo,0.25,0.0
3185,positive,beatificación,0.25,0.0
3186,positive,beige,0.25,0.0
3187,positive,beldad,0.25,0.0
3188,positive,bella,0.25,0.0
3189,positive,bendecir,0.25,0.25
3190,positive,bentos,0.25,0.0
3191,positive,berberecho,0.25,0.0
3192,positive,berro mastuerzo,0.25,0.0
3193,positive,bestializar,0.25,0.0
3194,positive,biblioteconomía,0.25,0.0
3195,positive,bicromatado,0.25,0.0
3196,positive,bienal,0.25,0.177
3197,positive,bienestar económico,0.25,0.0
3198,positive,bies,0.25,0.0
3199,positive,bifurcado,0.25,0.0
3200,positive,bigenérico,0.25,0.0
3201,positive,bigémino,0.25,0.0
3202,positive,bilabial,0.25,0.0
3203,positive,bilateral,0.25,0.354
3204,positive,bilineal,0.25,0.0
3205,positive,billete de avión,0.25,0.0
3206,positive,biodegradable,0.25,0.0
3207,positive,bioensayo,0.25,0.0
3208,positive,biológicamente,0.25,0.0
3209,positive,bioscopio,0.25,0.0
3210,positive,bioterio,0.25,0.0
3211,positive,bioética,0.25,0.0
3212,positive,bisílabo,0.25,0.0
3213,positive,bizantinismo,0.25,0.0
3214,positive,blanducho,0.25,0.0
3215,positive,blasfemador,0.25,0.0
3216,positive,blasfemo,0.25,0.0
3217,positive,bloqueante,0.25,0.0
3218,positive,boda civil,0.25,0.0
3219,positive,bodhisatwa,0.25,0.0
3220,positive,bodijo,0.25,0.0
3221,positive,bofetón,0.25,0.0
3222,positive,bola de melón,0.25,0.0
3223,positive,bolchevizar,0.25,0.0
3224,positive,bollo,0.25,0.0
3225,positive,bolsa de colofonia,0.25,0.0
3226,positive,bomba de demolición,0.25,0.177
3227,positive,boom,0.25,0.0
3228,positive,borriquete,0.25,0.0
3229,positive,bote-vivienda,0.25,0.0
3230,positive,bote de regatas,0.25,0.0
3231,positive,botella de Leyden,0.25,0.0
3232,positive,botón del ratón,0.25,0.0
3233,positive,bracamante,0.25,0.0
3234,positive,brahmanismo,0.25,0.0
3235,positive,breve,0.25,0.0
3236,positive,breviario,0.25,0.0
3237,positive,brindis,0.25,0.0
3238,positive,brut,0.25,0.0
3239,positive,brámidos,0.25,0.0
3240,positive,buen conversador,0.25,0.0
3241,positive,buen sabor,0.25,0.0
3242,positive,buena fortuna,0.25,0.0
3243,positive,bufete de abogados,0.25,0.0
3244,positive,bufónidos,0.25,0.0
3245,positive,buril,0.25,0.0
3246,positive,butaca,0.25,0.0
3247,positive,butacón,0.25,0.0
3248,positive,bífido,0.25,0.0
3249,positive,bíparo,0.25,0.0
3250,positive,caballero blanco,0.25,0.0
3251,positive,cabeza de serie,0.25,0.0
3252,positive,cableado,0.25,0.0
3253,positive,cachivache,0.25,0.0
3254,positive,cadenza,0.25,0.0
3255,positive,café con leche,0.25,0.0
3256,positive,caja alta,0.25,0.0
3257,positive,caja de pensiones,0.25,0.0
3258,positive,calaba,0.25,0.0
3259,positive,calamina,0.25,0.0
3260,positive,calce,0.25,0.0
3261,positive,calculable,0.25,0.177
3262,positive,calculador,0.25,0.0
3263,positive,calculista,0.25,0.0
3264,positive,caldo de cultivo,0.25,0.0
3265,positive,calefacción,0.25,0.0
3266,positive,calentarse,0.25,0.0
3267,positive,calidad,0.25,0.0
3268,positive,calidad de vida,0.25,0.0
3269,positive,callado,0.25,0.191
3270,positive,callarse,0.25,0.088
3271,positive,callista,0.25,0.0
3272,positive,calophyllum longifolium,0.25,0.0
3273,positive,calorífero,0.25,0.0
3274,positive,calígrafo,0.25,0.0
3275,positive,cambalache,0.25,0.0
3276,positive,cambiar el forro,0.25,0.0
3277,positive,cambio de color,0.25,0.0
3278,positive,cambio de forma,0.25,0.0
3279,positive,cambio de sentido,0.25,0.0
3280,positive,camión,0.25,0.177
3281,positive,camión basculante,0.25,0.0
3282,positive,campechanería,0.25,0.0
3283,positive,campo de estudio,0.25,0.0
3284,positive,camuesa,0.25,0.0
3285,positive,cancelar,0.25,0.0
3286,positive,canción de Navidad,0.25,0.0
3287,positive,canela,0.25,0.0
3288,positive,canje,0.25,0.0
3289,positive,canonista,0.25,0.0
3290,positive,canonización,0.25,0.0
3291,positive,cansarse,0.25,0.0
3292,positive,cantata,0.25,0.0
3293,positive,cantillos,0.25,0.0
3294,positive,canto nupcial,0.25,0.0
3295,positive,capellán de cárcel,0.25,0.0
3296,positive,capilla ardiente,0.25,0.0
3297,positive,capital de España,0.25,0.0
3298,positive,capitulaciones matrimoniales,0.25,0.0
3299,positive,carales,0.25,0.0
3300,positive,carambolear,0.25,0.0
3301,positive,caramelo de azúcar,0.25,0.0
3302,positive,caridad,0.25,0.12
3303,positive,carrera de fondo,0.25,0.0
3304,positive,carrera de perros,0.25,0.0
3305,positive,cartilla de ahorro,0.25,0.0
3306,positive,cartilla de ahorros,0.25,0.0
3307,positive,cartón,0.25,0.354
3308,positive,casa-bote,0.25,0.0
3309,positive,casa de empeño,0.25,0.0
3310,positive,casa de empeños,0.25,0.0
3311,positive,casamiento desigual,0.25,0.0
3312,positive,casarse,0.25,0.0
3313,positive,caso de urgencia,0.25,0.0
3314,positive,castaño,0.25,0.0
3315,positive,castaño rojizo,0.25,0.0
3316,positive,castillo,0.25,0.0
3317,positive,catacréstico,0.25,0.0
3318,positive,catamita,0.25,0.0
3319,positive,catastro,0.25,0.0
3320,positive,catatónico,0.25,0.0
3321,positive,cattleya,0.25,0.0
3322,positive,causa probable,0.25,0.0
3323,positive,causativo,0.25,0.0
3324,positive,cazador de ratones,0.25,0.0
3325,positive,cañón automático antiaéreo,0.25,0.0
3326,positive,cebolleta,0.25,0.0
3327,positive,cefalópodo,0.25,0.0
3328,positive,cegador,0.25,0.0
3329,positive,celeste,0.25,0.0
3330,positive,cemento armado,0.25,0.0
3331,positive,cencerro,0.25,0.0
3332,positive,cenotafio,0.25,0.0
3333,positive,censurado,0.25,0.0
3334,positive,centro comercial,0.25,0.0
3335,positive,centro docente,0.25,0.0
3336,positive,centro político,0.25,0.0
3337,positive,centrífugo,0.25,0.088
3338,positive,cenáculo,0.25,0.0
3339,positive,cephalopoda,0.25,0.0
3340,positive,cepillo de dientes,0.25,0.0
3341,positive,cepillo de uñas,0.25,0.0
3342,positive,cerdo,0.25,0.0
3343,positive,ceremoniero,0.25,0.088
3344,positive,ceremoniosidad,0.25,0.0
3345,positive,ceremonioso,0.25,0.088
3346,positive,cereza al marrasquino,0.25,0.0
3347,positive,cerradura de combinación,0.25,0.0
3348,positive,certificable,0.25,0.0
3349,positive,certitud,0.25,0.0
3350,positive,cerúleo,0.25,0.0
3351,positive,cespitoso,0.25,0.0
3352,positive,cestero,0.25,0.0
3353,positive,cetrería,0.25,0.0
3354,positive,chalaneo,0.25,0.0
3355,positive,chantajear,0.25,0.0
3356,positive,chapuzas,0.25,0.0
3357,positive,charla íntima,0.25,0.0
3358,positive,charola,0.25,0.0
3359,positive,chateau,0.25,0.0
3360,positive,chavalongo,0.25,0.0
3361,positive,chicoleo,0.25,0.0
3362,positive,chifonier,0.25,0.0
3363,positive,chimichurri,0.25,0.0
3364,positive,chip de memoria,0.25,0.0
3365,positive,chiquitín,0.25,0.0
3366,positive,chismerío,0.25,0.0
3367,positive,chiste visual,0.25,0.0
3368,positive,chovinista,0.25,0.0
3369,positive,chuparla,0.25,0.0
3370,positive,churra,0.25,0.0
3371,positive,ciencia-ficción,0.25,0.0
3372,positive,ciencia aplicada,0.25,0.0
3373,positive,ciencia biomédica,0.25,0.0
3374,positive,ciencia ficción,0.25,0.0
3375,positive,ciencia médica,0.25,0.0
3376,positive,científico,0.25,0.0
3377,positive,cierre hermético,0.25,0.0
3378,positive,cinta de audio,0.25,0.0
3379,positive,circunflejo,0.25,0.0
3380,positive,circunscrito,0.25,0.0
3381,positive,ciruela,0.25,0.177
3382,positive,ciudad prospera,0.25,0.0
3383,positive,civilizado,0.25,0.088
3384,positive,claristorio,0.25,0.0
3385,positive,clase alta,0.25,0.354
3386,positive,climáticamente,0.25,0.0
3387,positive,club de atletismo,0.25,0.0
3388,positive,club de gimnasia,0.25,0.0
3389,positive,club de yate,0.25,0.0
3390,positive,clueca,0.25,0.0
3391,positive,clueco,0.25,0.0
3392,positive,clímax sexual,0.25,0.0
3393,positive,coaxial,0.25,0.0
3394,positive,cobijar,0.25,0.088
3395,positive,cochino,0.25,0.0
3396,positive,cochino lucro,0.25,0.0
3397,positive,codorniz,0.25,0.177
3398,positive,coexistir,0.25,0.0
3399,positive,cognado,0.25,0.0
3400,positive,cohesivo,0.25,0.177
3401,positive,cohesión,0.25,0.0
3402,positive,cohibido,0.25,0.0
3403,positive,cola de cometa,0.25,0.0
3404,positive,colegio público,0.25,0.0
3405,positive,colimación,0.25,0.0
3406,positive,colindante,0.25,0.088
3407,positive,collada,0.25,0.0
3408,positive,colocar burlete,0.25,0.0
3409,positive,color crema,0.25,0.0
3410,positive,colores protectores,0.25,0.0
3411,positive,colorido,0.25,0.0
3412,positive,columpio,0.25,0.0
3413,positive,comedia-ballet,0.25,0.0
3414,positive,comedia de situación,0.25,0.0
3415,positive,comentario burlón,0.25,0.0
3416,positive,comentario ingenioso,0.25,0.0
3417,positive,comercializado,0.25,0.0
3418,positive,comerciante de pornografía,0.25,0.0
3419,positive,comercio de armas,0.25,0.0
3420,positive,comestibilidad,0.25,0.0
3421,positive,comic,0.25,0.0
3422,positive,comité ético,0.25,0.0
3423,positive,como un angel,0.25,0.0
3424,positive,como un reloj,0.25,0.0
3425,positive,comoda,0.25,0.0
3426,positive,compaginación,0.25,0.0
3427,positive,comparación imaginaria,0.25,0.0
3428,positive,comparecencia,0.25,0.0
3429,positive,compañero de cama,0.25,0.0
3430,positive,compañero del alma,0.25,0.0
3431,positive,compañia telefónica,0.25,0.0
3432,positive,compañía de teléfono,0.25,0.0
3433,positive,compenetrarse,0.25,0.0
3434,positive,compensación p,0.25,0.0
3435,positive,compensado,0.25,0.0
3436,positive,competición atlética,0.25,0.0
3437,positive,competir,0.25,0.0
3438,positive,complemento agente,0.25,0.0
3439,positive,complemento indirecto,0.25,0.0
3440,positive,componer espondeos,0.25,0.0
3441,positive,composición literaria,0.25,0.0
3442,positive,comprador,0.25,0.177
3443,positive,compresibilidad,0.25,0.0
3444,positive,computador,0.25,0.0
3445,positive,comunidad religiosa,0.25,0.0
3446,positive,con gran placer,0.25,0.0
3447,positive,concebible,0.25,0.0
3448,positive,concertar,0.25,0.177
3449,positive,concertarse,0.25,0.0
3450,positive,concienciar,0.25,0.0
3451,positive,conclave,0.25,0.0
3452,positive,concluido,0.25,0.0
3453,positive,concluirse,0.25,0.0
3454,positive,concurso atlético,0.25,0.0
3455,positive,concéntrico,0.25,0.0
3456,positive,condensado,0.25,0.0
3457,positive,condensador eléctrico,0.25,0.0
3458,positive,condicional,0.25,0.0
3459,positive,condilion,0.25,0.0
3460,positive,confeccionar rápidamente,0.25,0.0
3461,positive,confederado,0.25,0.354
3462,positive,confesado,0.25,0.0
3463,positive,confirmación,0.25,0.094
3464,positive,confirmado,0.25,0.0
3465,positive,confortablemente,0.25,0.177
3466,positive,confraternización,0.25,0.0
3467,positive,congeniar,0.25,0.217
3468,positive,conglomerado,0.25,0.0
3469,positive,conjuntivo,0.25,0.0
3470,positive,connatural,0.25,0.265
3471,positive,connotativo,0.25,0.0
3472,positive,conocida,0.25,0.0
3473,positive,conocimiento científico,0.25,0.0
3474,positive,conquista sexual,0.25,0.0
3475,positive,conscripción,0.25,0.0
3476,positive,consejera,0.25,0.177
3477,positive,conservatorio,0.25,0.177
3478,positive,considerable,0.25,0.0
3479,positive,consistencia,0.25,0.354
3480,positive,consolador,0.25,0.0
3481,positive,consolidador,0.25,0.265
3482,positive,consonante africada,0.25,0.0
3483,positive,constreñirse,0.25,0.0
3484,positive,constringente,0.25,0.0
3485,positive,construir un desembarcadero,0.25,0.0
3486,positive,consuelda,0.25,0.0
3487,positive,consultivo,0.25,0.0
3488,positive,consultor en dirección de empresas,0.25,0.0
3489,positive,consumidor,0.25,0.0
3490,positive,contornar,0.25,0.0
3491,positive,contraejemplo,0.25,0.0
3492,positive,contraer nupcias,0.25,0.0
3493,positive,contrafirmar,0.25,0.0
3494,positive,contrahecho,0.25,0.0
3495,positive,contrarréplica,0.25,0.0
3496,positive,contraste BOLD,0.25,0.0
3497,positive,contrastivo,0.25,0.0
3498,positive,contrasubversión,0.25,0.0
3499,positive,contrato aleatorio,0.25,0.0
3500,positive,contrato bilateral,0.25,0.0
3501,positive,contrato condicional,0.25,0.0
3502,positive,contrato de adhesión,0.25,0.0
3503,positive,contrato de matrimonio,0.25,0.0
3504,positive,contrato de seguro,0.25,0.0
3505,positive,contrato matrimonial,0.25,0.0
3506,positive,contrato prematrimonial,0.25,0.0
3507,positive,contraído,0.25,0.0
3508,positive,controlado,0.25,0.0
3509,positive,controvertido,0.25,0.125
3510,positive,contráctil,0.25,0.0
3511,positive,convalecer,0.25,0.088
3512,positive,conveniencia,0.25,0.112
3513,positive,convenio,0.25,0.088
3514,positive,conversador,0.25,0.0
3515,positive,converso,0.25,0.0
3516,positive,convertibilidad,0.25,0.0
3517,positive,cooperador,0.25,0.0
3518,positive,coordinación,0.25,0.347
3519,positive,coordinante,0.25,0.0
3520,positive,copiosamente,0.25,0.0
3521,positive,copérnico,0.25,0.0
3522,positive,coqueteo,0.25,0.0
3523,positive,coreido,0.25,0.0
3524,positive,coronión,0.25,0.0
3525,positive,corporativismo,0.25,0.0
3526,positive,corporativo,0.25,0.26
3527,positive,corpóreo,0.25,0.0
3528,positive,correccional,0.25,0.0
3529,positive,corrección,0.25,0.295
3530,positive,corregir,0.25,0.303
3531,positive,correlativo,0.25,0.177
3532,positive,correr libre,0.25,0.0
3533,positive,cortapisa,0.25,0.0
3534,positive,cortar tela,0.25,0.0
3535,positive,corticalmente,0.25,0.0
3536,positive,corvo,0.25,0.0
